MAL_ID,rank
40814,960
16870,962
3545,962
20815,962
6115,965
19111,965
9930,967
13203,967
30727,968
47794,968
2143,969
49200,970
21867,972
51533,973
35320,974
8142,975
552,976
1571,977
1824,978
29095,978
35806,980
30902,981
5630,982
40854,983
7044,984
11887,985
3750,986
35073,987
210,988
10119,988
10083,990
29829,990
11237,991
5005,991
26,992
17949,994
30123,994
966,997
37873,997
8609,998
985,1000
35120,1001
49738,1002
15809,1002
5781,1004
283,1006
43691,1006
80,1007
31733,1008
28999,1010
1473,1010
40906,1011
35198,1012
2508,1013
31433,1014
35678,1016
1092,1017
93,1018
1379,1019
32673,1020
35658,1021
4080,1022
50203,1024
19489,1024
38333,1024
39196,1025
154,1027
39940,1028
48849,1029
38850,1029
11001,1030
1887,1031
1254,1032
1253,1034
91,1035
7724,1035
1279,1036
407,1037
8311,1039
37985,1039
37924,1040
1520,1041
1818,1042
38145,1043
38400,1044
37959,1045
17895,1046
19319,1047
4886,1049
10357,1049
2753,1051
49571,1052
95,1052
479,1053
1562,1055
709,1056
18153,1056
597,1057
464,1058
1007,1060
20159,1060
24893,1062
534,1062
978,1063
48780,1065
39014,1065
1281,1066
31637,1067
9074,1069
4814,1069
36214,1071
39619,1071
530,1072
8514,1073
28479,1074
39764,1076
38436,1076
6033,1077
317,1078
47402,1078
44196,1080
6984,1082
35363,1083
23249,1083
1293,1084
10090,1085
22673,1085
32870,1086
48375,1089
25015,1089
19703,1090
8795,1092
20767,1092
31289,1093
37442,1093
517,1095
1719,1095
23775,1099
42091,1100
5074,1100
50275,1101
32869,1102
12017,1103
48916,1103
43523,1104
474,1105
1211,1106
1910,1107
41140,1109
21339,1110
1462,1110
34914,1111
48553,1114
50273,1114
31483,1115
51218,1116
41780,1117
52193,1117
40429,1119
740,1120
10218,1120
6024,1122
531,1123
14741,1123
2724,1126
38671,1126
27633,1127
12117,1127
18619,1128
25303,1129
13119,1130
33899,1131
3603,1132
38619,1133
13767,1134
35860,1135
1375,1137
49838,1138
40620,1139
20517,1139
31772,1142
31704,1142
15959,1142
31592,1143
6591,1144
51335,1146
885,1147
32370,1148
2994,1149
5835,1149
8426,1150
39959,1151
7193,1152
8516,1153
997,1154
10092,1155
28907,1156
52847,1157
516,1158
38777,1158
21659,1159
1000,1161
353,1162
34544,1162
35240,1164
20847,1165
28069,1167
90,1168
2582,1169
30311,1169
2313,1170
4454,1170
23755,1172
2547,1173
13667,1174
6154,1174
37804,1176
2104,1177
33502,1177
32863,1178
13535,1179
14735,1180
47164,1183
36094,1184
120,1185
30191,1185
4192,1185
4811,1187
15117,1188
1888,1190
32491,1191
40269,1193
2175,1194
49733,1194
37773,1194
34284,1196
9510,1197
323,1198
4898,1198
2451,1201
182,1202
6213,1202
37956,1204
38101,1205
33337,1206
477,1207
28249,1207
21405,1209
3841,1210
34430,1211
51039,1212
22777,1212
19115,1213
396,1214
5231,1214
450,1215
8525,1217
324,1218
10460,1219
49123,1219
1961,1220
33071,1221
233,1222
33032,1223
22043,1225
48804,1226
1015,1226
44586,1228
43299,1229
31783,1230
34445,1230
15487,1231
31764,1233
2963,1233
34428,1234
5530,1236
35777,1236
5485,1237
9926,1238
35503,1239
12883,1241
39071,1241
38958,1242
14511,1243
18849,1244
12021,1245
398,1247
19775,1248
2499,1249
36904,1250
4177,1252
24913,1252
33354,1254
644,1255
34439,1255
31859,1257
42940,1258
582,1259
42625,1259
3931,1260
34542,1260
87,1261
31227,1262
6956,1264
42166,1264
251,1266
444,1268
7305,1268
23385,1268
39651,1270
528,1272
1011,1272
290,1274
42351,1274
38917,1275
41195,1276
36653,1277
14941,1277
21995,1279
6772,1280
39681,1281
21667,1281
32979,1283
35191,1284
74,1284
240,1286
37501,1287
25649,1288
32977,1289
16904,1289
150,1290
371,1292
32551,1293
42423,1293
874,1295
8687,1296
3785,1297
22265,1298
37704,1301
488,1302
2454,1303
33064,1304
33191,1304
856,1305
32268,1306
6172,1306
1412,1309
1915,1309
2594,1311
44059,1311
208,1313
1813,1313
36513,1314
19671,1314
18119,1315
21843,1316
441,1317
25729,1318
540,1319
2557,1319
37027,1320
331,1322
48438,1322
7592,1323
28927,1324
32729,1325
21473,1327
30240,1328
65,1328
47257,1330
6444,1330
539,1331
9000,1331
1002,1333
1239,1333
60,1335
1690,1336
34349,1336
345,1338
48830,1338
123,1340
32948,1340
50425,1342
34855,1342
24765,1343
18055,1344
6904,1346
106,1346
33446,1347
160,1348
228,1350
255,1352
3713,1352
37306,1352
18245,1354
48491,1356
5494,1356
22125,1357
34577,1359
35067,1360
34161,1361
22101,1362
30549,1362
5751,1365
10278,1366
41433,1366
8247,1367
951,1368
36704,1369
71,1370
852,1371
41164,1371
13117,1373
617,1374
9288,1374
24439,1376
7471,1376
32792,1376
10350,1379
145,1382
17437,1382
1606,1382
35079,1384
38594,1384
25341,1385
39585,1387
1483,1388
24543,1388
10935,1388
38414,1389
1699,1391
32836,1392
21755,1393
2985,1395
40111,1396
16239,1397
1008,1399
40665,1400
10717,1401
33253,1402
1946,1403
48876,1404
38002,1404
1689,1405
2961,1407
37176,1408
38086,1409
4725,1409
22583,1409
40569,1410
110,1410
37972,1411
18753,1413
35672,1414
35789,1415
1650,1416
9201,1417
52874,1417
24405,1418
23321,1420
584,1422
10389,1422
18897,1423
51989,1423
39355,1424
53149,1425
40392,1426
5507,1426
9751,1429
41488,1430
39597,1431
32717,1433
24151,1436
42238,1436
9471,1437
11737,1438
37869,1438
9785,1440
2213,1440
44200,1443
48779,1443
4596,1443
7303,1444
33845,1448
6702,1448
969,1448
25801,1448
132,1450
37958,1450
6637,1451
31931,1451
9441,1452
2593,1453
7762,1453
3090,1455
36896,1455
7647,1456
51680,1456
905,1458
9065,1459
2229,1460
821,1461
43609,1464
96,1464
27991,1464
6927,1465
29854,1466
2558,1468
30413,1469
3466,1470
34973,1471
10495,1472
6050,1472
31953,1473
10161,1475
40936,1475
37407,1477
9745,1478
3515,1478
31765,1479
36470,1480
49891,1482
6046,1482
31711,1484
34902,1485
1418,1485
3001,1487
36038,1488
33091,1489
40351,1491
36286,1491
32542,1492
50672,1494
8675,1495
2787,1496
2174,1497
36474,1498
15731,1498
9062,1499
40416,1500
32915,1502
38027,1504
35972,1504
28539,1505
2665,1506
23251,1506
8190,1506
37109,1507
37141,1509
31989,1510
6372,1511
37007,1512
9790,1513
452,1514
38790,1516
1830,1517
2012,1517
1356,1517
40221,1518
6624,1519
50667,1520
21435,1522
28677,1524
37341,1524
11531,1529
33520,1529
40571,1530
5162,1530
340,1531
19511,1533
24135,1534
40331,1537
46,1540
34561,1541
34547,1542
44068,1544
52291,1545
880,1546
7270,1546
2800,1548
1240,1549
67,1550
708,1552
18671,1552
3673,1552
44406,1553
4182,1553
33988,1554
17249,1556
986,1557
129,1558
28121,1558
2498,1558
1557,1560
41061,1560
36125,1560
17,1561
11135,1561
1301,1561
32681,1562
1985,1563
13403,1563
449,1565
13709,1566
1095,1566
19669,1566
1567,1567
304,1568
39555,1569
43756,1570
2214,1571
35424,1572
48903,1574
2673,1574
54026,1574
7661,1575
40861,1578
53148,1578
21327,1579
30778,1579
1087,1582
34374,1584
51308,1584
49574,1585
16241,1585
250,1587
33519,1588
9396,1591
42590,1591
36494,1591
7627,1592
2112,1593
14407,1594
51608,1594
462,1595
11371,1597
44807,1597
1372,1599
39452,1599
50221,1600
8532,1600
6802,1601
13851,1603
39495,1603
8937,1604
52826,1604
18139,1605
49361,1607
6793,1607
2549,1608
38373,1609
37807,1612
209,1613
8197,1614
914,1618
567,1619
31380,1620
6347,1621
48405,1622
32828,1623
8086,1625
36561,1625
42889,1626
36480,1627
41120,1628
31552,1628
15989,1629
1861,1631
36064,1631
3369,1631
2405,1632
48707,1632
35321,1632
39114,1633
41694,1634
9760,1636
10715,1637
12725,1637
33209,1637
36754,1638
41132,1639
33089,1639
38938,1640
42266,1641
1289,1643
50552,1643
33350,1644
49661,1645
522,1647
40590,1647
10216,1648
6773,1650
10033,1652
6634,1652
52305,1653
177,1655
39477,1655
37996,1656
20031,1659
40024,1659
38410,1660
11359,1661
5177,1661
33034,1663
10500,1663
455,1664
6152,1665
4039,1665
430,1666
1251,1666
14131,1668
2002,1670
2026,1670
37497,1671
3165,1672
37621,1674
22817,1674
1003,1676
4981,1677
2392,1679
31376,1679
31706,1680
38816,1681
37682,1681
38710,1683
2037,1685
3092,1685
5348,1685
2848,1686
49570,1687
194,1688
1563,1689
40879,1689
37976,1689
35984,1692
30347,1694
30913,1694
52684,1696
2562,1697
46093,1697
3470,1698
38578,1699
34984,1700
1212,1701
35241,1701
10790,1702
50590,1703
33338,1704
50663,1705
10588,1706
14189,1708
38804,1708
9979,1708
10716,1711
2198,1712
9919,1714
1488,1715
31821,1715
4835,1716
5493,1717
43683,1717
16934,1718
1478,1719
10259,1720
2514,1721
48542,1722
21273,1723
23269,1724
218,1726
22819,1727
50248,1728
35823,1730
691,1730
28771,1730
29,1732
226,1733
40323,1734
36522,1735
17729,1736
13655,1736
7651,1740
10568,1741
34134,1742
26243,1742
19191,1745
39921,1745
12487,1747
38659,1749
2227,1750
39569,1750
5713,1750
7877,1751
38793,1752
34414,1752
37370,1752
857,1754
39065,1756
23135,1757
13587,1758
21743,1758
23277,1759
37426,1760
33378,1762
38435,1763
270,1764
35006,1764
13245,1764
379,1765
15451,1766
39538,1767
2202,1769
39989,1769
31418,1769
41471,1770
15775,1770
5712,1773
11111,1773
12291,1774
35015,1775
1050,1776
9645,1777
31553,1779
41219,1779
551,1780
40942,1780
37614,1781
5291,1785
8331,1785
9366,1785
428,1787
1034,1788
41221,1788
16005,1788
40504,1789
1642,1791
41590,1791
40314,1793
14227,1796
48643,1797
433,1799
22693,1799
35828,1800
49483,1801
37441,1803
38555,1803
34262,1804
10469,1806
5419,1806
13267,1807
10378,1809
34480,1810
10573,1811
2424,1811
18499,1812
40540,1813
41595,1814
40735,1814
48727,1817
22199,1817
22147,1817
5251,1821
39178,1821
9982,1822
15197,1822
13629,1824
287,1825
587,1825
7902,1826
8479,1826
40841,1830
17273,1831
31665,1832
22763,1833
52893,1833
36220,1834
2608,1835
5204,1835
40044,1836
481,1838
39165,1838
38491,1839
1773,1840
10497,1841
435,1842
31,1845
142,1845
39049,1845
3449,1847
1047,1847
3848,1847
5118,1848
5306,1848
32900,1850
3420,1851
15315,1851
10589,1852
36962,1853
8407,1854
5671,1856
15793,1856
355,1858
12187,1860
16273,1860
16524,1862
40454,1863
31389,1863
1577,1864
11889,1866
12679,1868
33302,1868
18497,1869
102,1871
30868,1871
10067,1873
34514,1873
5538,1877
34513,1877
35821,1877
13349,1878
27601,1878
33731,1879
9047,1880
32108,1881
26023,1882
49930,1883
24365,1883
41567,1884
36823,1885
1069,1887
37475,1887
11319,1887
36160,1887
32953,1888
37984,1890
33443,1890
334,1891
33183,1891
34136,1894
39491,1896
30296,1896
166,1897
1459,1898
28979,1899
1651,1901
39469,1902
37266,1902
17187,1904
19195,1904
17947,1906
27411,1907
48483,1910
8476,1912
40828,1912
490,1914
21573,1914
1913,1916
35759,1916
879,1918
8726,1918
2257,1919
814,1921
21737,1921
200,1922
13663,1924
15437,1925
16011,1925
23701,1926
3613,1927
15061,1927
49026,1929
8100,1929
38740,1930
6187,1931
103,1931
2768,1933
6573,1934
37516,1934
2171,1935
51638,1937
25687,1938
1395,1939
3213,1940
37348,1940
1663,1943
15195,1943
1852,1944
13115,1944
6553,1946
40010,1947
8217,1948
36903,1950
14467,1950
3392,1951
37305,1951
49236,1953
28405,1954
10620,1955
1614,1958
593,1958
37954,1958
15925,1959
1029,1959
10793,1963
10471,1965
10714,1965
30736,1965
40842,1965
40685,1965
34420,1967
3974,1968
11743,1968
11553,1969
1579,1969
1686,1972
2889,1974
37890,1974
1681,1975
327,1975
1608,1976
34103,1976
18523,1977
18465,1979
2409,1980
10731,1980
24703,1983
40389,1985
3972,1986
3731,1986
42965,1986
33094,1988
